2889,N, Susto o muerte lo podrido está en la herencia del PSOE - Dos Palabras http:tcoPzhljvjt vía @elconfidencial
2890,NONE,    Para futboleros mañana  opcional con  Público   el último R Madrid - Barça en DVD
2891,P+,  Es estupendo @fjcristofol Rafa Álvarez es seguramente el mejor entrevist d la prensa españolaIncluso ante personajes vacíos y sin humor
2892,NONE,    El Nuñez crackoviano ayer http:tco5FahOkqz
2893,N+,  Rusty warriors Musica cerda de after de los viejos tiempos Hasta el culo de cristal azul  del mismo Heisenberg http:tcoh5kszlfI
2894,NEU,   Esto para que quede claro y para dejen algunos de hacer demagogia  http:tcoBOb282TC
2895,NEU,   @MaximoExposito risto  te veo muy moderado hoy con los merengues xD Pues sí Odio a la gente que no sabe ganar
2896,N, Pilar porqué se dice tonto de capirote y no tonto de capuchón @PilarGGranja
2897,NONE,    #BurgosTróspido
2898,NONE,    @alfonsomerlos @MJFdz Perdón  Maria Jesus
2899,NONE,    Qué sensación RT @1001Medios  Habrá periódicos con sensación de papel… pero serán digitales dice @nnegroponte http:tcoFdzt5Vyh
2900,N, Amonestado el público argentino en La Cartuja
2901,NONE,    Portada Qué - Madrid http:tcou5lMkRwl
2902,NONE,    Muy alto @LMeseguer @pedroj_ramirez  Qué % de  culpa  tiene Twitter en las ventas de #ElPrimerNaufragio
2903,N+,  @acarcedo @PilarGGranja @gato_directo que reduzcan cargos  coches  funcionarios  sibvenciones  consejeros  sueldos Y que luego hable
2904,P+,  Desde el sábado trabajamos intensamente con @_Rubalcaba_ para hacer una oposición útil y volver a ser alternativa de gobierno pronto
2905,P+,  Enhorabuena @paullop RT @bottup Bottup  único proyecto español en  Citizen Media Toolkit  de Changemakers+Google http:tcor0wtV6Y9
2906,N, 73 denuncias por no recoger los excrementos de las  mascotas vía @diario_sur  http:tcotQNSi4fc
2907,P+,  Esta parte del deiscurso sobre la confianza en los españoles creo que será interesante No todo son cuentas  sino complicidad #investidura
2908,P, Hay que ir RT @mystra74 Carlos Aires transforma el CAC Málaga en una feria sobre el deseo y la barbarie http:tco3OY1g5yp  @cacmalaga
2909,NONE,    Buenos días a todos
2910,NEU,   Una huelga de  baja intensidad  que relaja la presión sobre Rajoy - Dos Palabras http:tcozR6Iaae9 vía @elconfidencial
2911,NONE,    Día completito  completitograbación de OFFS coreografías (10 por lo menos)  ensayen escena y ensayo general#yeswespainISDIFFERENT
2912,P+,  Todo preparado para el gran espectáculo El jueves el Ayuntamiento va a cobrar vida #sevillahoy http:tco1GYscglV
2913,P+,  + 1000 MT @manuelerice @ajmencia Enhorabuena a todos por #iRedes Magnífico resumen de @jlori Redes y Twitter  mas importantes #storify
2914,N+,  Hay que ser bestia y mala @libertaddigital  A Cospedal es para crucificarla y enterrarla en el cementerio nuclear  http:tco4jc7eOKo
2915,P+,  Genial crónica de @maykanavarro sobre el estreno del Ministro de Defensa Morenés en #Afganistán http:tcogINbRH9v
2916,NONE,    A merendar #chatidieta  http:tcoFs6j0PWJ
2917,N+,  Es tildar a la violencia machista de violencia en el ámbito familiar y a la recesión2012 de desaceleración llamar al pan pan y al vino vino
2918,P+,  Hoy viajaremos a SALAMANCA Mañana presentamos el #yeswespainISDIFFERENT d los días 13 y14 d abril;)) bien;)))
2919,NEU,   Hoy me reúno en Asturias con familiares de los niños robados Luego reunión sobre la oficina del diputado y por la tarde homenaje  a Otones
2920,P+,  Buenos días  os deseo una buena semana Nos toca reunión con consejeros con el objetivo de hacer políticas en común en Sanidad y S sociales
2921,P+,  Rajoy confirma que mañana por la tarde dara a conocer su nuevo gobierno al Rey y a todos los españoles  despues de jurar su cargo
2922,P, Máaaaaaas  majos (Algunos ) http:tcor9DhC443
2923,P, Este es el homenaje de la APM a nuestro socio Mingote que hoy nos ha dejado http:tcoUG4KWdK1
2924,NONE,    Aquí os dejo imagen del encuentro que @AriasCanete ha mantenido hoy con los agricultores de ASAJA-CÁDIZ en Villamartín http:tcoWURgcZ7u
2925,NONE,    Jajajaj de fiesta dice el colgao Si acabo de despertarme amigo
2926,NONE,    Camino de Madrid para asistir al debate de investidura de Mariano Rajoy en el Congreso
2927,N, RT @MOvidio73 @sevillajordi Hay un problema de comunicación no de código sino de sintonía La política se aleja cada día más del ciudadano
2928,N+,   No son maneras   post sobre cómo se está comportando cara al público el Gobierno Rajoy  Soraya y los demás ministros
2929,N+,  El ministro israelí de Defensa  Ehud Barak  acusa a Irán de estar detrás de las explosiones en el centro de BangkokHay un herido grave
2930,NEU,   Sabemos los que son  aquí os muestro los que podían haberlo sido  http:tcokfg23GC8
2931,N, Ademas   que sentido tiene que desde el gobierno andaluz imponga una subasta de medicamentos cuando no tienen competencia en ello
2932,NONE,    Victoria del Real Madrid 5-1( dos Benzema  dos Ronaldo y uno Higuaín) frente a la Real Sociedad
2933,N, Entre el yerno y los jóvenes parados  se pasa las noches en vela Menos mal que tiene a los hijos colocados http:tcoP7IuKxfQ
2934,NONE,    Un año después  la #PrimaveraÁrabe sigue inacabada Y mañana con EL PERIÓDICO  DVD del Madrid-Barça (1-3)http:tcoxO65s55U#portadaEPC
2935,N, Los independentistas catalanes y vascos amenazan con manifesytarse en Madrid Lo debatimos en el @TelediarioInter 20:30
2936,N+,  La respuesta masiva en la calle al ataque brutal de la derecha política y económica a los trabajadores va a marcar  un antes y un después
2937,NONE,    #Hagamos_nuestro_propio_camino http:tcov5lrdikR
2938,P, Curro Romero y su mujer Carmen Tello en el #17CongresoPP para arropar a @marianorajoy y @javierarenas_pp http:tcoL3m57MdG
2939,P, #11M #NoOlvidamos hasta mañana amig@s
