1445,P+,  Suerte  Raquel@RaquelMartos Mi primera novela está en las librerías  es mucha la emoción -) #losbesosnosegastan,OPINION
1446,P, Este tema os dejo hoy amig@s Sergio Dalma y Rafita (que será de mi ) Buenas noches Bs  http:tcop5TW8rKl,OPINION
1447,P, Me reclaman en la cocina Esa es una llamada que nunca deberíais desatender,OPINION
1448,P, Jajaja Si joe Todo a la vez RT @natuchi79svq @AlejandroSanz el derby y el carnavalestoy por (cont) http:tcoDvUY4S6O,OPINION
1449,P, No os perdáis en el Prado el nuevo Bruegel  la fiesta del vino  Restaurado aquí Maravilloso El vicio y la virtud siglo XVi Tan moderno,OPINION
1450,P, Esta galleta que han hecho los mayores de Carretera de Cádiz es lo mas ;-)) cc @javierarenas_pp #elcambioandaluz http:tco5gDIUnHR,OPINION
1451,N, Ni el voto es un cheque en blanco  ni la mayoría absoluta es inexpugnable El PP debería saberlo por experiencia,OPINION
1452,NEU,   @Mery_EG @PilarGGranja No puedo estar más de acuerdo contigo Últimamente todo vale en este país,OPINION
1453,P, Por cierto  sigo esperando conocer el plan del Gobierno para rentabilizar sus cuantiosos inmuebles inutilizados No basta denunciar,OPINION
1454,NONE,    A ls 23:30h m entrevista Ramon Miravitlles a @COMRadiocom,OPINION
1455,P+,  Un placer @nachomostazo Gracias por jornadas de Dirección de Campañas Electorales en #IESEcampañas  @jgespartero,OPINION
1456,P+,  Buenos días;-),OPINION
1457,P+,   @frec_digital #Tusiquevales se dispara al 22% en el late y dobla a  Viaje al Toledo  de Antena 3 http:tcoUsTY1A1f  Ouyeah,OPINION
1458,NEU,   El ministro del Interior confirma su extraña cita con Zapatero Todo muy normal,OPINION
1459,P, Limpiar el cordón umbilical es una medida sencilla contra la mortalidad infantil http:tcoXnFCPQ1M via @elmundoes,OPINION
1460,NONE,    @marodriguezb me hago la misma pregunta de floriano,OPINION
1461,NEU,   Rubal dice a los suyos que hay Rajoy para 8 años Chacón piensa seguir dando la batalla Os lo contamos en @TelediarioInter 20:30,OPINION
1462,P+,  A todos  de todos los colores  de todas las ideologías  de todas las razas y religiones A todos FELIZ NAVIDADhttp:bitlyf5ssc6,OPINION
1463,P+,  Sibarita @ramonbiosca no puedo evitar acordarme de @pedroj_ Me han regalado #ElPrimerNaufragio y voy a abrir botella de Geranium,OPINION
1464,N, #Gallardón  la policía ha actuado  obligada x violencia provocadaDesde  q es Ministro se ha quitado careta ideológica http:tco2yQJpSFY,OPINION
1465,NEU,   El rey acaba de poner a Urdangarin a los pies de la Justicia #discursodelRey,OPINION
1466,N, Correcto @alexielpr @Buenafuente cualquier cosa con tal de no pagar un taxi,OPINION
1467,N, La consejera Aguayo contradice lo que Griñán afirmó ayer respecto al déficit  dando la razón a @javierarenas_pp  #GriñanMiente,OPINION
1468,NEU,   Editorial NYT sobre reforma en las Fuerzas Armadas US tras los recortes  http:tcomsjybVPY,OPINION
1469,P+,  Que tengáis un buen día familia BESOS Y ABRAZO DE GOL PARA TOD@S,OPINION
1470,NONE,    Las Penas #malagasanta #cofradiasmlg #malaga   @ Oratorio De Las Penas http:tco5LOfxvxh,OPINION
1471,P+,  Me encanta  - I rated Mad Men S04E13  http:tcoF2wT2dOm,OPINION
1472,P, Morenés a UpyD  No soy extraordinariamente rico Lo que tengo me lo he ganado  Referencias sobre su pasado en la industria de armamento,OPINION
1473,NEU,   El PSOE rechaza cualq fórmula de copago  tb en función de la renta   Vamos a ir cada uno con nuestra declaración en la mano  Trini Jnez,OPINION
1474,P, Austeridad y rigor en la administración base de la reactivación económica para sacar a #Andalucía del pozo del desempleo y la crisis,OPINION
1475,NONE,    Ayer con Pablo y las Hormigas en @El_Hormiguero http:tcotmKWxM4j,OPINION
1476,P, Antes de irme a dormir os dejo con una postalita de Toronto http:tcoucuPhQmz,OPINION
1477,N, El Gobierno no ampliará el plazo para que sindicatos y empresarios lleguen a un acuerdo,OPINION
1478,P+,  Muy recomendable http:tco5P1HJf8X Xa @Jiwert,OPINION
1479,N+,  @Juandecolmenero Lo de Rajoy con la prensa ya es cabezonería Y dejación de funciones,OPINION
1480,NONE,    Jugando http:tco7b4HFzyi,OPINION
1481,P+,  Tenemos que combinar reflexión con ACCION  Tenemos que hacerlo con un proyecto que tiene que ser nuevo,OPINION
1482,NONE,    Aqui os dejo el flyer donde pone donde se puede comprar entradas http:tcoMFgHvLXw,OPINION
1483,N, Covergència después de su congreso ha marcado claro su objetivo llevar a Cataluña al conflicto social desde la insumisión d coche oficial,OPINION
1484,N+,  #BastaYa  Un hombre mata a puñaladas a su ex mujer en Jaén y se entrega a la Guardia Civil  http:tcohoKyVOyG via @elmundoes,OPINION
1485,P, Aunque para grandes esteMaestro Landa http:tco25NjdSdL,OPINION
1486,NONE,    Buenos días a todos Así amanece Madrid http:tcoiudGmMiv,OPINION
1487,NEU,   Jauregui saca en el debate con Santamaría las criticas del arzobispo de Valladolid para solidarizarse y los del PP murmuran Tema delicado,OPINION
1488,N+,  @UPyD  Hemos pillado al PP sin buscarlo en una tremenda contradicción y en una tremenda traición  http:tcoWrni5uSq Sin buscarlo,OPINION
1489,P, Al teatro El COMPAC GRAN VIA nos esperaq mágico es Madrid;),OPINION
1490,N, Rubalcaba le dice a Rajoy que tiene sospechas de que puede recortar derechos Rajoy ni le mira #investidura,OPINION
1491,P+,  Ya esta aquí Ya llegó por fin la quinta ensaladera Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz,OPINION
1492,N, el q de Guardiola @JSanye @PilarGGranja @PuntoPelota Que no llevan bien lo de Guardiola,OPINION
1493,P+,  Toca @crackoviadeTV3  Grabación dl especial NavideñoMari crismas,OPINION
1494,NONE,    Os dejo la carta que Alicia Gª  Consejera de Cultura y Tur de la JCyL  y yo hemos enviado a la Sra Ministra d Cultura http:tcoQZwoH2NA,OPINION
1495,NONE,    Continuanos en IESESegunda jornada del Programa de Dirección de Campañas Electorales con Steve Jarding #iesecampañas,OPINION
1496,NONE,    Portada 20 Minutos - Zaragoza http:tcoUWmAkse8,NONE
1497,NEU,   Cierra Soraya mas o menos pidiendo perdón recordando que heredan el  marron  y que ellos van a dar la cara  actuar y decir la verdad,OPINION
1498,N+,  Eso:@Sindy_ro @ccifuentes Que el gobierno condecore a Zp me parece humillante cuando deberían sentarlo en el banquillo por hundir España,OPINION
1499,N+,  Y eso es nada Uff @nachoramos Por cada Medio de Comunicacion que cerró en 2011 cerraron más de 4000 autónomos,OPINION
1500,P, Sería conveniente que los jugadores de Madrid vieran cómo pelean los del Mirandés,OPINION
